2023-02-08 11:15:18.793 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:15:19.493 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:17:53.304 [main.py] INFO    | 進入VG主頁
2023-02-08 11:17:55.167 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:17:55.973 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:20:21.553 [main.py] INFO    | 進入VG主頁
2023-02-08 11:20:23.584 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:20:24.398 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:22:41.356 [main.py] INFO    | 進入VG主頁
2023-02-08 11:22:43.051 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:22:44.050 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:24:40.652 [main.py] INFO    | 進入VG主頁
2023-02-08 11:24:43.489 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:24:44.416 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:30:13.246 [main.py] INFO    | 進入VG主頁
2023-02-08 11:30:15.210 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:30:16.072 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:30:57.626 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 11:31:59.720 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2023-02-08 11:31:59.739 [main.py] ERROR   | main:terminate current subprocess failed, 'Thread' object has no attribute 'terminate'
2023-02-08 11:31:59.749 [face_backend.py] INFO    | 人臉:收到[END_PROCESS]的signal
2023-02-08 11:31:59.813 [main.py] INFO    | 進入VG主頁
2023-02-08 11:32:01.770 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:32:03.470 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:38:09.512 [main.py] INFO    | 進入VG主頁
2023-02-08 11:38:11.553 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:38:12.214 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:39:39.738 [face_api.py] INFO    | 進入人臉註冊頁
2023-02-08 11:40:06.376 [face_api.py] INFO    | 進入人臉註冊頁
2023-02-08 11:40:14.405 [face_api.py] INFO    | 進入人臉模型訓練頁
2023-02-08 12:01:57.251 [main.py] INFO    | 進入VG主頁
2023-02-08 12:01:59.043 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 12:01:59.715 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 12:06:29.855 [main.py] INFO    | 進入VG主頁
2023-02-08 12:06:32.041 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 12:06:32.822 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 13:11:48.464 [main.py] INFO    | 進入VG主頁
2023-02-08 13:11:52.763 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:11:53.543 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 13:14:13.584 [main.py] INFO    | 進入VG主頁
2023-02-08 13:14:16.229 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:14:17.198 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 13:16:54.060 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 13:17:08.187 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 13:20:04.376 [main.py] INFO    | 進入VG主頁
2023-02-08 13:20:06.513 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:20:07.519 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 13:22:37.540 [main.py] INFO    | 進入VG主頁
2023-02-08 13:22:40.154 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:22:41.035 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 13:25:06.353 [main.py] INFO    | 進入VG主頁
2023-02-08 13:25:09.018 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:25:09.787 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
